run,epoch,accuracy,loss,val_accuracy,val_loss
sigmoide,1,0.2812291383743286,3.36789608001709,0.44434550404548645,3.077261447906494
sigmoide,2,0.4306390583515167,2.917206287384033,0.4697239398956299,2.72814679145813
sigmoide,3,0.4804052412509918,2.6225028038024902,0.5222617983818054,2.4837453365325928
sigmoide,4,0.5266087651252747,2.3953139781951904,0.5325022339820862,2.2875819206237793
sigmoide,5,0.5417501926422119,2.199592113494873,0.5342831611633301,2.1252365112304688
sigmoide,6,0.5472055077552795,2.021002769470215,0.532056987285614,1.9781655073165894
sigmoide,7,0.5532175302505493,1.865378975868225,0.5378450751304626,1.8649184703826904
sigmoide,8,0.5574482083320618,1.7574803829193115,0.5431879162788391,1.797965407371521
sigmoide,9,0.5632376074790955,1.6667348146438599,0.5485306978225708,1.7448673248291016
sigmoide,10,0.569917619228363,1.591902494430542,0.5516473650932312,1.7059732675552368
sigmoide,11,0.5818303227424622,1.533745527267456,0.5636687278747559,1.6660910844802856
sigmoide,12,0.6028724312782288,1.471873164176941,0.5819234251976013,1.64632248878479
sigmoide,13,0.6275885105133057,1.4137375354766846,0.6006233096122742,1.6158822774887085
sigmoide,14,0.6484079360961914,1.367875337600708,0.6113089919090271,1.6034420728683472
sigmoide,15,0.6729013323783875,1.3213661909103394,0.6215494275093079,1.5708383321762085
sigmoide,16,0.687152087688446,1.2824139595031738,0.6313446164131165,1.5461465120315552
sigmoide,17,0.6998441219329834,1.2380008697509766,0.638913631439209,1.5283392667770386
sigmoide,18,0.7070808410644531,1.2047507762908936,0.6424754858016968,1.5194072723388672
sigmoide,19,0.7147628664970398,1.1736117601394653,0.619768500328064,1.5851913690567017
sigmoide,20,0.7187708616256714,1.1463897228240967,0.6487088203430176,1.4964847564697266
relu0.3dropout,1,0.28779780864715576,3.2018051147460938,0.4016028642654419,2.590705394744873
relu0.3dropout,2,0.42228901386260986,2.568913698196411,0.4777382016181946,2.2061197757720947
relu0.3dropout,3,0.47784456610679626,2.230231285095215,0.5222617983818054,1.9224369525909424
relu0.3dropout,4,0.533734142780304,1.941638708114624,0.5382903218269348,1.7379024028778076
relu0.3dropout,5,0.5753729939460754,1.761659026145935,0.6024042963981628,1.6501015424728394
relu0.3dropout,6,0.6019817590713501,1.6498106718063354,0.613089919090271,1.584480881690979
relu0.3dropout,7,0.6173458099365234,1.5721125602722168,0.6415850520133972,1.5559768676757812
relu0.3dropout,8,0.6332665085792542,1.4932610988616943,0.6331255435943604,1.5330055952072144
relu0.3dropout,9,0.642952561378479,1.4469060897827148,0.6491540670394897,1.5084335803985596
relu0.3dropout,10,0.6605433225631714,1.3727800846099854,0.6460373997688293,1.4898256063461304
relu0.3dropout,11,0.6694499850273132,1.3326177597045898,0.6544969081878662,1.4704205989837646
relu0.3dropout,12,0.6755733489990234,1.2840582132339478,0.6536064147949219,1.4578394889831543
relu0.3dropout,13,0.6848140954971313,1.241554856300354,0.6558325886726379,1.448312759399414
relu0.3dropout,14,0.6890447735786438,1.2002573013305664,0.6536064147949219,1.4831438064575195
relu0.3dropout,15,0.6936094164848328,1.1667397022247314,0.6611754298210144,1.4583152532577515
relu0.3dropout,16,0.7050768136978149,1.1299121379852295,0.6625111103057861,1.4460619688034058
relu0.3dropout,17,0.7143175005912781,1.089119791984558,0.666963517665863,1.4455907344818115
relu0.3dropout,18,0.7211089134216309,1.0695782899856567,0.6705253720283508,1.452844500541687
relu0.3dropout,19,0.7287909388542175,1.0413908958435059,0.6656277775764465,1.4745532274246216
relu0.3dropout,20,0.7374749779701233,1.0136395692825317,0.6745324730873108,1.476197361946106
dense10,1,0.2822311222553253,3.114347219467163,0.45414069294929504,2.64133358001709
dense10,2,0.4197283387184143,2.480921745300293,0.48486196994781494,2.1721551418304443
dense10,3,0.4772879183292389,2.100599527359009,0.5391807556152344,1.9043892621994019
dense10,4,0.5267201066017151,1.875533938407898,0.5556545257568359,1.7546581029891968
dense10,5,0.5597862601280212,1.709333062171936,0.5783615112304688,1.6628566980361938
dense10,6,0.609218418598175,1.5947157144546509,0.6157613396644592,1.6132445335388184
dense10,7,0.649743914604187,1.4967540502548218,0.6331255435943604,1.5715751647949219
dense10,8,0.6729013323783875,1.4093378782272339,0.6415850520133972,1.5271822214126587
dense10,9,0.687152087688446,1.3260855674743652,0.6420302987098694,1.4939454793930054
dense10,10,0.6940547823905945,1.2573211193084717,0.6487088203430176,1.461375117301941
dense10,11,0.7090848088264465,1.177049160003662,0.654051661491394,1.439811110496521
dense10,12,0.7143175005912781,1.1247671842575073,0.658058762550354,1.431492567062378
dense10,13,0.7313516139984131,1.0653802156448364,0.6598396897315979,1.4249448776245117
dense10,14,0.7384769320487976,1.0210849046707153,0.6611754298210144,1.4378522634506226
dense10,15,0.7538410425186157,0.9786178469657898,0.6638468503952026,1.465876579284668
dense10,16,0.7668670415878296,0.9432508945465088,0.6611754298210144,1.4921729564666748
dense10,17,0.7699844241142273,0.9159756302833557,0.6625111103057861,1.4822041988372803
dense10,18,0.7741037607192993,0.8837049603462219,0.6682991981506348,1.4747713804244995
dense10,19,0.7804498076438904,0.8536495566368103,0.6731967926025391,1.4855867624282837
dense10,20,0.7845691442489624,0.8349423408508301,0.6740872859954834,1.5302300453186035
dense10ffdim16,1,0.21799154579639435,3.3499200344085693,0.36197686195373535,3.007087469100952
dense10ffdim16,2,0.32676464319229126,2.845271587371826,0.3757791519165039,2.5101499557495117
dense10ffdim16,3,0.38599419593811035,2.363090753555298,0.4109528064727783,2.0748016834259033
dense10ffdim16,4,0.5063460469245911,1.9870864152908325,0.577025830745697,1.8112156391143799
dense10ffdim16,5,0.5917390584945679,1.7286103963851929,0.62600177526474,1.6624293327331543
dense10ffdim16,6,0.6383878588676453,1.5559611320495605,0.645146906375885,1.5664770603179932
dense10ffdim16,7,0.6575372815132141,1.4343217611312866,0.6473730802536011,1.5386269092559814
dense10ffdim16,8,0.6780226826667786,1.341698408126831,0.658058762550354,1.4860409498214722
dense10ffdim16,9,0.6926074624061584,1.2642254829406738,0.6611754298210144,1.4601064920425415
dense10ffdim16,10,0.7045201659202576,1.2038730382919312,0.6642920970916748,1.4478226900100708
dense10ffdim16,11,0.7183255553245544,1.152688980102539,0.6638468503952026,1.4462820291519165
dense10ffdim16,12,0.7296816110610962,1.1009432077407837,0.6647372841835022,1.4373202323913574
dense10ffdim16,13,0.734468936920166,1.0576967000961304,0.6598396897315979,1.445487141609192
dense10ffdim16,14,0.7401469349861145,1.01643705368042,0.6620659232139587,1.4415173530578613
dense10ffdim16,15,0.7442663311958313,0.9884486198425293,0.6642920970916748,1.4664762020111084
dense10ffdim16,16,0.7508350014686584,0.9461490511894226,0.6558325886726379,1.4721221923828125
dense10ffdim16,17,0.7536183595657349,0.919130265712738,0.6585040092468262,1.4868799448013306
dense10ffdim16,18,0.7610777020454407,0.886283814907074,0.6651825308799744,1.4691123962402344
dense10ffdim16,19,0.7615230679512024,0.863371729850769,0.6616206765174866,1.494911789894104
dense10ffdim16,20,0.7685370445251465,0.8380572199821472,0.6634016036987305,1.5170620679855347
base,1,0.20307281613349915,3.396331787109375,0.3633125424385071,2.931367874145508
base,2,0.3668448030948639,2.734347343444824,0.41674086451530457,2.3822762966156006
base,3,0.4674905240535736,2.2321202754974365,0.5427426695823669,1.9587080478668213
base,4,0.5633489489555359,1.850636601448059,0.5934995412826538,1.710205316543579
base,5,0.607771098613739,1.609552264213562,0.6001781225204468,1.5943012237548828
base,6,0.6391672492027283,1.4544651508331299,0.6246660947799683,1.5027971267700195
base,7,0.664551317691803,1.3413054943084717,0.6469278931617737,1.4502086639404297
base,8,0.6872634291648865,1.2247239351272583,0.6598396897315979,1.4009568691253662
base,9,0.7179915308952332,1.1318025588989258,0.6651825308799744,1.3720195293426514
base,10,0.7442663311958313,1.0441553592681885,0.6754229664802551,1.3327245712280273
base,11,0.7651970386505127,0.9703160524368286,0.687889575958252,1.310799241065979
base,12,0.781785786151886,0.899351954460144,0.6914514899253845,1.3120112419128418
base,13,0.7948118448257446,0.8513180017471313,0.7003561854362488,1.307863712310791
base,14,0.8079492449760437,0.7958759069442749,0.6967942714691162,1.325825810432434
base,15,0.8175239562988281,0.7541436553001404,0.700801432132721,1.319109559059143
base,16,0.823313295841217,0.7120222449302673,0.7079252004623413,1.2919878959655762
base,17,0.8277666568756104,0.6804171204566956,0.709260880947113,1.3061338663101196
base,18,0.8380093574523926,0.6477259397506714,0.7043632864952087,1.3365436792373657
base,19,0.8450233936309814,0.6124954223632812,0.7056990265846252,1.334721326828003
base,20,0.8483633995056152,0.5862704515457153,0.7101513743400574,1.3516956567764282
dense30,1,0.3001558780670166,3.066528558731079,0.37978628277778625,2.40190052986145
dense30,2,0.45201513171195984,2.2918269634246826,0.5111309289932251,2.0632123947143555
dense30,3,0.5237140655517578,1.9655572175979614,0.5654497146606445,1.8017815351486206
dense30,4,0.5973057150840759,1.6951310634613037,0.6393588781356812,1.639529824256897
dense30,5,0.6526386141777039,1.5103925466537476,0.6424754858016968,1.5620839595794678
dense30,6,0.6910487413406372,1.3561007976531982,0.6598396897315979,1.4490876197814941
dense30,7,0.7172122001647949,1.2234059572219849,0.6731967926025391,1.3864707946777344
dense30,8,0.7384769320487976,1.1105927228927612,0.670970618724823,1.3578517436981201
dense30,9,0.7616344094276428,1.0141243934631348,0.6856634020805359,1.322569727897644
dense30,10,0.7796704769134521,0.9365658760070801,0.6994656920433044,1.290010690689087
dense30,11,0.7916945219039917,0.8669685125350952,0.6972395181655884,1.2829771041870117
dense30,12,0.8053885698318481,0.8072181344032288,0.690115749835968,1.2941702604293823
dense30,13,0.8160765767097473,0.7483788728713989,0.7065895199775696,1.2816342115402222
dense30,14,0.8258739709854126,0.702482283115387,0.7056990265846252,1.2862144708633423
dense30,15,0.8384546637535095,0.6550046801567078,0.7123775482177734,1.2924184799194336
dense30,16,0.8482520580291748,0.6129171252250671,0.7212823033332825,1.284597635269165
dense30,17,0.8572701215744019,0.5723810195922852,0.7177203893661499,1.2894253730773926
dense30,18,0.871854841709137,0.5333407521247864,0.7230632305145264,1.3093597888946533
dense30,19,0.8775328397750854,0.5038430690765381,0.7101513743400574,1.3518339395523071
dense30,20,0.8826541900634766,0.4815365970134735,0.7257346510887146,1.3291059732437134
4heads,1,0.3221999406814575,2.945613384246826,0.4447907507419586,2.4470348358154297
4heads,2,0.4475618004798889,2.308026075363159,0.5164737105369568,2.0697250366210938
4heads,3,0.5228234529495239,1.9709585905075073,0.5498664379119873,1.8321576118469238
4heads,4,0.5693609714508057,1.7487777471542358,0.5796972513198853,1.698427438735962
4heads,5,0.6004230976104736,1.6004256010055542,0.5894924402236938,1.617488145828247
4heads,6,0.6362725496292114,1.4787911176681519,0.6206589341163635,1.5593794584274292
4heads,7,0.6757960319519043,1.363499641418457,0.6482635736465454,1.487433910369873
4heads,8,0.7104208469390869,1.2420189380645752,0.6700801253318787,1.4184441566467285
4heads,9,0.7348029613494873,1.1323105096817017,0.6821014881134033,1.3874393701553345
4heads,10,0.7530616521835327,1.0496691465377808,0.6780943870544434,1.3434535264968872
4heads,11,0.7654197216033936,0.9820755124092102,0.6856634020805359,1.3206026554107666
4heads,12,0.774549126625061,0.9218394756317139,0.6847729086875916,1.335140585899353
4heads,13,0.7902471423149109,0.8639340996742249,0.6941229104995728,1.3204138278961182
4heads,14,0.8036072254180908,0.8190023303031921,0.6959038376808167,1.3180471658706665
4heads,15,0.8132932782173157,0.7677537798881531,0.6981300115585327,1.3061543703079224
4heads,16,0.8209753036499023,0.7291156053543091,0.6959038376808167,1.3455559015274048
4heads,17,0.8288799524307251,0.6854720115661621,0.7003561854362488,1.3438993692398071
4heads,18,0.8393453359603882,0.638437807559967,0.7052537798881531,1.3549681901931763
4heads,19,0.8450233936309814,0.6133987307548523,0.7105966210365295,1.3437399864196777
4heads,20,0.8562681078910828,0.5726187825202942,0.6999109387397766,1.3943839073181152
dense80,1,0.37107548117637634,2.803626537322998,0.4483526349067688,2.195661783218384
dense80,2,0.46938320994377136,2.0983169078826904,0.5075690150260925,1.9401644468307495
dense80,3,0.5488755106925964,1.7975826263427734,0.5975067019462585,1.678615689277649
dense80,4,0.6276998519897461,1.5592552423477173,0.6371327042579651,1.5755577087402344
dense80,5,0.6674460172653198,1.4164130687713623,0.6495993137359619,1.491006851196289
dense80,6,0.6961700916290283,1.2772881984710693,0.6642920970916748,1.4005080461502075
dense80,7,0.7202182412147522,1.1532624959945679,0.6740872859954834,1.3380475044250488
dense80,8,0.7425963282585144,1.0579246282577515,0.6718611121177673,1.3369686603546143
dense80,9,0.7658650875091553,0.9594289064407349,0.6861086487770081,1.275048851966858
dense80,10,0.7879091501235962,0.8872985243797302,0.6932324171066284,1.2465074062347412
dense80,11,0.8073925375938416,0.8131042122840881,0.699020504951477,1.2378813028335571
dense80,12,0.8200846314430237,0.7534713745117188,0.7083704471588135,1.2338563203811646
dense80,13,0.8367846608161926,0.6957977414131165,0.7105966210365295,1.2624350786209106
dense80,14,0.8482520580291748,0.6450523734092712,0.7132680416107178,1.261216402053833
dense80,15,0.8592740893363953,0.6021838784217834,0.7154942154884338,1.2594778537750244
dense80,16,0.869182825088501,0.5520522594451904,0.7150489687919617,1.2747219800949097
dense80,17,0.8794255256652832,0.5121052861213684,0.7101513743400574,1.3093394041061401
dense80,18,0.884212851524353,0.4798058867454529,0.7235084772109985,1.303672194480896
dense80,19,0.893676221370697,0.44534873962402344,0.7235084772109985,1.2901439666748047
dense80,20,0.8974615931510925,0.4146425724029541,0.7181656360626221,1.35566246509552
